Абу-Кринат (поселок),12%,213240
Абу-Снан,12%,186000
Абу-Тлуль,12%,213240
Авдон,12%,213240
Авивим,14%,219960
Авирим,12%,213240
Авнат,12%,213240
Авней-Эйтан,12%,213240
Авшалом,20%,267840
Адамит,14%,219960
Адора,7%,146640
Айелет-ха-Шахар,7%,146640
Акко,12%,186000
Алоней-ха-Башан,14%,219960
Алумим,20%,267840
Алумот,12%,213240
Алькош,12%,213240
Альма,12%,213240
Альмагор,7%,146640
Амация,7%,146640
Амиад,7%,146640
Амиоз,20%,267840
Амир,12%,213240
Амирим,10%,180000
АМКА,7%,146640
Амнон,7%,146640
Амука,10%,180000
Аниам,7%,146640
Араб-аль-Наим,12%,213240
Араба,12%,213240
Арад,18%,259920
Арамша,14%,219960
Аргаман,12%,213240
Аръара-ба-Негев,18%,259920
Ас-Саид,12%,213240
Асфар,12%,213240
Афик,12%,213240
Афиким,12%,213240
Ахихуд,7%,146640
Ахузам,7%,146640
Ацмон-Сегев,7%,146640
Ашалим,7%,146640
Ашдот-Яаков (Ихуд),12%,213240
Ашдот-Яаков (Меухад),12%,213240
Бар-Йохай,12%,213240
Барам,14%,219960
Бейт-Гилель,12%,213240
Бейт-Джан,14%,259920
Бейт-Зера,12%,213240
Бейт-Йосеф,12%,213240
Бейт-Кама,7%,146640
Бейт-ха-Арава,10%,180000
Бейт-ха-Гди,7%,146640
Бейт-ха-Эмек,7%,146640
Бейт-Шеан,12%,213240
Бен-Ами,10%,180000
Бецет,12%,186600
Беэр-Милька,12%,213240
Беэр-Ора,12%,213240
Беэри,20%,267840
Бина,12%,186000
Бир-Хададж,12%,213240
Бирия,10%,180000
Битха,7%,146640
Бней-Дкалим,7%,146640
Бней-Йегуда,7%,146640
Бней-Нецарим,20%,267840
Брор-Хаиль,20%,267840
Брош,7%,146640
Буката,12%,213240
Бустан-ха-Галиль,7%,146640
Гаатон,10%,180000
Гадот,7%,146640
Гварам,20%,267840
Гвим,20%,267840
Гвулот,7%,146640
Гешер,12%,213240
Гешер-ха-Зив,10%,180000
Гешур,7%,146640
Гиват-Йоав,7%,146640
Гиволим,7%,146640
Гивот-Бар,7%,146640
Гилат,7%,146640
Гилон,7%,146640
Гиносар,7%,146640
Гита,7%,146640
Гонен,7%,146640
Горен,12%,213240
Гранот-ха-Галиль,12%,213240
Грофит,12%,213240
Дальтон,12%,213240
Дан,12%,213240
Дафна,14%,219960
Двира,7%,146640
Дгания А,12%,213240
Дгания Б,12%,213240
Дейр-Ханна,12%,186000
Дейр-эль-Асад,12%,186000
Декель,20%,267840
Джиш (Гуш-Халав),12%,213240
Джудейда-Макр,12%,186000
Джулис,7%,146640
Димона,16%,213240
Дишон,14%,219960
Довев,14%,219960
Дорот,20%,267840
Дриджат,12%,213240
Зиким,20%,267840
Зимрат,20%,267840
Зруа,7%,146640
Ибим,20%,267840
Идан,12%,213240
Ир-Ов,14%,219960
Ир-Оvot,7%,146640
Ифтах,14%,219960
Йерухам,18%,259920
Йесод-ха-Маала,12%,213240
Йехиам,7%,146640
Йеша,20%,267840
Йонатан,12%,213240
Йотвата,12%,213240
Йошивия,12%,213240
Кабри,10%,180000
Кабул,12%,186000
Кадарим,7%,146640
Кадита,12%,213240
Каланит,10%,180000
Калия,10%,180000
Камана,12%,213240
Камон,7%,146640
Канаф,7%,146640
Каркум,7%,146640
Кармей-Катиф,7%,146640
Кармель,7%,146640
Кармиэль,7%,146640
Кармия,20%,267840
Каср-а-Сир,12%,213240
Кахаль,7%,146640
Кацрин,10%,180000
Кела,7%,146640
Керем-Бен-Зимра,12%,213240
Керем-Шалом,20%,267840
Кешет,12%,213240
Кидмат-Цви,7%,146640
Кинерет (квуца),12%,213240
Кинерет (мошава),12%,213240
Кирьят-Арба,12%,213240
Кирьят-Шмона,20%,259920
Кисра-Сумей,14%,259920
Кисуфим,20%,267840
Кишор,7%,146640
Клахим,7%,146640
Клиль,7%,146640
Кмехин,12%,213240
Коразим,7%,146640
Коранит,7%,146640
Крамим,7%,146640
Ксейфа,18%,259920
Ктура,12%,213240
Кухла,12%,213240
Кфар-Аза,20%,267840
Кфар-Блюм,12%,213240
Кфар-Гилади,12%,213240
Кфар-Маймон,20%,267840
Кфар-Масарик,7%,146640
Кфар-Розенвальд (Зарит),14%,219960
Кфар-Рош-ха-Никра,14%,219960
Кфар-Рупин,12%,213240
Кфар-Сольд,12%,213240
Кфар-ха-Наси,7%,146640
Кфар-Ханания,10%,180000
Кфар-Харув,12%,213240
Кфар-Хошен,12%,213240
Кфар-Шамай,10%,180000
Кфар-Ясиф,7%,146640
Лавон,7%,146640
Лакия,18%,259920
Лапидот,7%,146640
Лахав,7%,146640
Лахавот-ха-Башан,7%,146640
Ливним,10%,180000
Лиман,10%,180000
Лотан,12%,213240
Лотем,7%,146640
Лохамей-ха-Гетаот,7%,146640
Маагалим,7%,146640
Мааган,12%,213240
Маале-Гамла,7%,146640
Маалот-Таршиха,14%,259920
Мааян-Барух,14%,219960
Мабуим,7%,146640
Мавкиим,20%,267840
Магар,12%,213240
Маген,20%,267840
Маджд-эль-Крум,12%,186000
Мадждаль-Шамс,20%,259920
Мазраа,12%,186000
Малкия,14%,219960
Манара,14%,219960
Манот,12%,213240
Маноф,7%,146640
Маоз-Хаим,12%,213240
Маон,12%,213240
Маргалиот,14%,219960
Масада,14%,259920
Масада,12%,213240
Маскиот,12%,213240
Маслуль,7%,146640
Масуа,12%,213240
Матат,14%,219960
Маханаим,7%,146640
Махане-Йохвед,10%,180000
Махане-Тали,7%,146640
Махане-Ятир,7%,146640
Махане-Яфа,7%,146640
Маххуль,12%,213240
Мацува,10%,180000
Машабей-Саде,10%,180000
Мево-Хама,12%,213240
Мейцар,12%,213240
Менахемья,12%,213240
Меона,12%,213240
Мером-Голан,12%,213240
Мерон,12%,213240
Мерхав-Ам,10%,180000
Метула,14%,219960
Мефальсим,20%,267840
Мехола,12%,213240
Мецадот-Йехуда,10%,180000
Мивтахим,20%,267840
Мигдаль,7%,146640
Мидрешет-Бен-Гурион,7%,146640
Миилия,10%,180000
Мисгав-Ам,14%,219960
Михманим,7%,146640
Мицпе-Рамон,18%,259920
Мицпе-Шалем,7%,146640
Мишмар-ха-Негев,7%,146640
Мишмар-ха-Ярден,7%,146640
Млилот,7%,146640
Молада,12%,213240
Моран,7%,146640
Наама,12%,213240
Наве,20%,267840
Нагария,12%,226560
Натив-ха-Асара,20%,267840
Натив-ха-Шаяра,7%,146640
Натур,10%,180000
Нахаль-Оз,20%,267840
Нахф,12%,213240
Неватим,7%,146640
Неве-Атив,12%,213240
Неве-Зив,12%,213240
Неве-Зохар,7%,146640
Неве-Ур,12%,213240
Неве-Хариф,12%,213240
Неве-Эйтан,12%,213240
Негохот,7%,146640
Неот-Голан,7%,146640
Неот-Мордехай,12%,213240
Неот-Смадар,12%,213240
Неот-ха-Кикар,12%,213240
Нес-Амим,7%,146640
Нета,7%,146640
Нетивот,16%,226560
Нетуа,14%,219960
Нимрод,12%,213240
Нир-Акива,7%,146640
Нир-Ам,20%,267840
Нир-Ицхак,20%,267840
Нир-Моше,7%,146640
Нир-Оз,20%,267840
Нирим,20%,267840
Ницана,12%,213240
Ницаней-Синай,12%,213240
Ноам,7%,146640
Нов,12%,213240
Одем,12%,213240
Ор-ха-Гануз,12%,213240
Ор-ха-Нер,20%,267840
Орталь,12%,213240
Отниэль,10%,180000
Офаким,18%,259920
Охад,20%,267840
Ошрат,7%,146640
Паамей-Ташаз,7%,146640
Паран,12%,213240
Паруд,10%,180000
Патиш,7%,146640
Пдуим,7%,146640
Пелех,7%,146640
Пецаэль,12%,213240
Пкиин (Букейя),14%,259920
Пкиин-Хадаша,12%,213240
Пней-Хевер,12%,213240
Пория - Кфар-Авода,7%,146640
Пория - Неве-Овед,7%,146640
Пория-Илит,7%,146640
При-Ган,20%,267840
Равид,7%,146640
Раджар,20%,259920
Ракефет,7%,146640
Рамат-Магшимим,12%,213240
Рамат-Трамп,7%,146640
Раме,7%,146640
Рамот,7%,146640
Рамот-Нафтали,12%,213240
Ранен,7%,146640
Рас-аль-Айн,12%,213240
Рахат,16%,226560
Ревивим,10%,180000
Регба,7%,146640
Реим,20%,267840
Рехов,12%,213240
Рихания,12%,213240
Рои,12%,213240
Ротэм,12%,213240
Рош-Пина,7%,146640
Ртамим,7%,146640
Руах-Мидбар,7%,146640
Рухама,7%,146640
Саад,20%,267840
Саар,10%,180000
Саджур,12%,186000
Салама,12%,213240
Самар,12%,213240
Сансана,7%,146640
Сапир,12%,213240
Саса,12%,213240
Сахнин,12%,186000
Сде-Бокер,10%,180000
Сде-Давид,7%,146640
Сде-Нахум,12%,213240
Сде-Нехемия,12%,213240
Сде-Ницан,20%,267840
Сде-Цви,7%,146640
Сде-Элиэзер,12%,213240
Сде-Элиягу,12%,213240
Сдей-Авраам,20%,267840
Сдей-Трумот,12%,213240
Сдерот,20%,267840
Сегев-Шалом,18%,259920
Снир,12%,213240
Сусия,10%,180000
Суфа,20%,267840
Таашур,7%,146640
Таль-Эль,7%,146640
Тальмей-Билу,7%,146640
Тальмей-Йосеф,20%,267840
Тальмей-Элиягу,20%,267840
Тамра,12%,186000
Тарабин-а-Сана,12%,213240
Тверия,12%,186000
Телем,10%,180000
Тель-Кацир,12%,213240
Тель-Теомим,12%,213240
Тель-Шева,18%,259920
Тене,7%,146640
Тидхар,7%,146640
Тират-Цви,12%,213240
Тифрах,12%,213240
Ткума,20%,267840
Тлалим,7%,146640
Тламим,7%,146640
Туба-Зангария,12%,213240
Туваль,7%,146640
Тушия,20%,267840
Тфахот,10%,180000
Умм-Батин,12%,213240
Урим,7%,146640
Фассута,14%,259920
Ха-Гошрим,12%,213240
Ха-Он,12%,213240
Хагай,7%,146640
Хад-Нес,7%,146640
Хазон,10%,180000
Халуц,7%,146640
Хамадия,12%,213240
Ханита,14%,219960
Хар-Амаса,7%,146640
Харарит,7%,146640
Харашим,7%,146640
Хацева,12%,213240
Хацерим,7%,146640
Хацор-ха-Глилит,12%,213240
Хелец,7%,146640
Хемдат,12%,213240
Хила,12%,213240
Хиспин,12%,213240
Хосен,12%,213240
Хукок,7%,146640
Хулата,7%,146640
Хулит,20%,267840
Хура,18%,259920
Хурфейш,14%,259920
Хусания,12%,213240
Цвия,7%,146640
Цеэлим,10%,180000
Цивон,12%,213240
Цофар,12%,213240
Цохар,20%,267840
Цуким,12%,213240
Цурит,7%,146640
Цуриэль,12%,213240
Цфат,12%,213240
Шааб,12%,213240
Шааль,7%,146640
Шаар-ха-Голан,12%,213240
Шавей-Даром,10%,180000
Шавей-Цион,7%,146640
Шадмот-Мехола,12%,213240
Шальва,7%,146640
Шальва-ба-Мидбар,7%,146640
Шамир,12%,213240
Шани,7%,146640
Шаршерет,7%,146640
Шахарут,10%,180000
Шеар-Яшув,12%,213240
Шезор,10%,180000
Шейх-Данун,12%,213240
Шекеф,7%,146640
Шефер,10%,180000
Шиболим,7%,146640
Шизаф,7%,146640
Шима,10%,180000
Шитим,10%,180000
Шломи,20%,259920
Шломит,20%,267840
Шоваль,7%,146640
Шокеда,20%,267840
Шомария,12%,213240
Шомера,14%,219960
Шомрат,7%,146640
Шорашим,7%,146640
Штула,14%,219960
Шува,20%,267840
Шхания,7%,146640
Эвен-Менахем,12%,213240
Эвен-Шмуэль,7%,146640
Эврон,10%,180000
Эзуз,12%,213240
Эйлон,12%,213240
Эйлот,12%,213240
Эйн-аль-Асад,12%,213240
Эйн-Гев,10%,180000
Эйн-Геди,7%,146640
Эйн-Зиван,12%,213240
Эйн-Киния,14%,259920
Эйн-Тамар,12%,213240
Эйн-ха-Бсор,20%,267840
Эйн-ха-Мифрац,7%,146640
Эйн-ха-Нацив,12%,213240
Эйн-ха-Шлоша,20%,267840
Эйн-Хацева,12%,213240
Эйн-Яаков,12%,213240
Эйн-Яхав,12%,213240
Эйтан,7%,146640
Эли-Ад,12%,213240
Элиав,7%,146640
Элифаз,12%,213240
Элифелет,7%,146640
Эль-Ром,12%,213240
Эрез,20%,267840
Эшбаль,7%,146640
Эшболь,7%,146640
Эшель-ха-Наси,7%,146640
Эшколот,7%,146640
Эшхар,7%,146640
Ювалим,7%,146640
Юваль,14%,219960
Яад,7%,146640
Яара,14%,219960
Явуль,20%,267840
Яд-Мордехай,20%,267840
Янух-Джат,7%,146640
Ярдена,12%,213240
Ярка,12%,213240
Ясур,7%,146640
Ятед,20%,267840
Яфит,12%,213240
Яхель,12%,213240
Яхини,20%,267840
